# CATH_ID	S35_REPS	DOMAINS	NAME
1.10.10.500	1	3	Homeo-prospero domain
1.10.10.510	2	63	Zinc finger, large T-antigen D1 domain
1.10.10.520	3	36	Ubiquitin activating enzymes (Uba3). Chain: B, domain 2
1.10.10.530	1	8	mam-mhc complex, Chain D, Domain 2
1.10.10.540	3	14	XPC-binding domain
1.10.10.570	2	12	"Winged helix" DNA-binding domain. Chain C. Domain 1
1.10.10.580	2	6	Structural maintenance of chromosome 1. Chain E
1.10.10.600	1	2	IscX-like
1.10.10.610	1	1	YehU-like
1.10.10.620	1	3	ribosome modulation factor like domain
1.10.10.630	2	3	DnaD domain-like
1.10.10.640	1	1	phospholipid-binding protein
1.10.10.650	2	5	RuvA domain 2-like 
1.10.10.660	1	4	conserved protein of unknown function from Enterococcus faecalis V583
1.10.10.670	1	47	photosystem ii from thermosynechococcus elongatus 
1.10.10.680	1	1	Hypothetical protein VC1899 (Restriction endonuclease-like)
1.10.10.690	1	1	YidB-like
1.10.10.710	1	5	PSPTO_1197 like
1.10.10.720	1	2	leucyl-tRNA synthetase
1.10.10.730	1	4	KorB DNA-binding domain
1.10.10.740	2	25	Crisp domain
1.10.10.750	3	11	Ypt/Rab-GAP domain of gyp1p 
1.10.10.760	1	9	E-set domains of sugar-utilizing enzymes 
1.10.10.770	1	2	
1.10.10.780	4	5	
1.10.10.790	5	8	
1.10.10.800	1	2	
1.10.10.810	2	5	
1.10.10.820	4	54	
1.10.10.830	1	1	
1.10.10.840	1	4	
1.10.10.850	1	1	
1.10.10.860	1	2	
1.10.10.870	1	2	
1.10.10.880	1	2	
1.10.10.890	2	2	
1.10.10.900	2	6	
1.10.10.910	1	1	
1.10.10.920	1	1	
1.10.10.930	2	10	
1.10.10.940	1	4	
1.10.10.950	1	4	
1.10.10.960	1	2	
1.10.10.970	1	1	
1.10.10.980	1	2	
1.10.10.990	1	5	
1.10.10.1000	1	1	
1.10.10.1010	1	2	
1.10.10.1020	1	4	
1.10.10.1030	1	3	
1.10.10.1040	1	2	
1.10.10.1050	2	7	
1.10.10.1060	1	8	
1.10.10.1070	2	6	
1.10.10.1080	1	2	
1.10.10.1090	1	2	
1.10.10.1100	3	5	
1.10.10.1110	1	1	
1.10.10.1120	1	1	
1.10.10.1130	1	1	
1.10.10.1140	1	21	
1.10.10.1150	1	1	
1.10.10.1160	1	24	
1.10.10.1170	1	2	
1.10.10.1180	1	1	
1.10.10.1190	1	4	
1.10.10.1200	2	2	
1.10.10.1210	1	2	
1.10.10.1220	1	1	
1.10.10.1230	2	9	
1.10.10.1240	1	2	
1.10.10.1250	1	6	
1.10.10.1260	1	4	
1.10.10.1270	2	16	
1.10.10.1280	1	15	
1.10.10.1290	1	2	
1.10.10.1300	1	4	
1.10.10.1310	1	2	
1.10.10.1320	3	18	
1.10.10.1330	2	2	
1.10.10.1340	1	4	
1.10.10.1350	2	9	
1.10.10.1360	1	2	
1.10.10.1370	1	1	
1.10.10.1390	1	2	
1.10.10.1400	1	4	
1.10.10.1410	3	12	
1.10.10.1420	2	3	
1.10.10.1430	2	3	
1.10.10.1440	1	5	
1.10.10.1450	1	11	
1.10.10.1460	1	1	
1.10.10.1470	1	2	
1.10.10.1480	1	12	
1.10.10.1490	1	1	
1.10.10.1500	2	32	
1.10.10.1510	1	2	
1.10.10.1520	2	32	
1.10.10.1530	1	13	
1.10.10.1540	2	2	
1.10.10.1550	1	1	
1.10.10.1560	1	3	
1.10.10.1570	1	96	
1.10.10.1580	1	1	
1.10.10.1590	1	14	
1.10.10.1600	1	9	
1.10.10.1610	1	1	
1.10.10.1620	1	1	
1.10.10.1630	1	4	
1.10.10.1640	1	2	
1.10.10.1650	1	1	
1.10.10.1660	1	4	
1.10.10.1670	1	18	
1.10.10.1680	1	18	
1.10.10.1690	1	2	
1.10.10.1700	2	8	
1.10.10.1710	1	7	
1.10.10.1720	1	6	
1.10.10.1730	1	2	
1.10.10.1740	1	1	
1.10.10.1750	1	2	
1.10.10.1760	2	50	
1.10.10.1770	1	5	
1.10.10.1780	1	11	
1.10.10.1790	1	1	
1.10.10.1800	3	14	
1.10.10.1810	1	5	
1.10.10.1820	1	2	
1.10.10.1830	1	2	
1.10.10.1840	1	6	
1.10.10.1850	1	1	
1.10.10.1860	1	1	
1.10.10.1870	1	1	
1.10.10.1880	7	16	
1.10.10.1890	2	5	
1.10.10.1900	1	1	
1.10.10.1910	1	1	
1.10.10.1920	2	2	
1.10.10.1930	1	17	
1.10.10.1940	1	1	
1.10.10.1950	1	10	
1.10.10.1960	1	1	
1.10.10.1970	1	1	
1.10.10.1980	1	10	
1.10.10.1990	1	10	
1.10.10.2000	1	1	
1.10.10.2010	1	1	
1.10.10.2020	2	4	
1.10.10.2030	1	1	
1.10.10.2040	1	2	
1.10.10.2050	1	1	
1.10.10.2060	1	7	
1.10.10.2070	1	30	
1.10.10.2080	1	5	
1.10.10.2090	1	5	
1.10.10.2100	1	1	
1.10.10.2110	1	2	
1.10.10.2120	1	12	
1.10.10.2130	1	4	
1.10.10.2140	1	6	
1.10.10.2150	1	2	
1.10.10.2160	1	15	
1.10.10.2170	2	14	
1.10.10.2180	1	1	
1.10.10.2190	1	2	
1.10.10.2200	1	4	
1.10.10.2210	1	7	
1.10.10.2220	1	2	
1.10.10.2230	1	2	
1.10.10.2240	2	10	
1.10.10.2250	2	12	
1.10.10.2260	1	1	
1.10.10.2270	1	4	
1.10.10.2280	1	3	
1.10.10.2290	1	1	
1.10.10.2300	1	45	
1.10.10.2310	1	1	
1.10.10.2320	1	1	
1.10.10.2330	1	1	
1.10.10.2340	1	4	
1.10.10.2350	1	1	
1.10.10.2360	1	5	
1.10.10.2370	1	2	
1.10.10.2380	2	7	
1.10.10.2390	1	4	
1.10.10.2400	1	1	
1.10.10.2420	1	1	
1.10.10.2430	1	2	
1.10.10.2450	1	1	
1.10.10.2460	1	3	
1.10.10.2470	1	2	
1.10.10.2480	1	9	
1.10.10.2490	1	4	
1.10.10.2500	1	1	
1.10.10.2510	2	10	
1.10.10.2520	1	3	
1.10.10.2530	2	10	
1.10.10.2540	1	9	
1.10.10.2550	1	1	
1.10.10.2560	1	2	
1.10.10.2570	2	6	
1.10.10.2580	1	2	
1.10.10.2590	1	6	
1.10.10.2600	2	6	
1.10.10.2610	1	3	
1.10.10.2620	2	12	
1.10.10.2630	1	19	
1.10.10.2650	1	5	
1.10.10.2660	1	12	
1.10.10.2670	1	2	
1.10.10.2690	2	6	
1.10.10.2700	2	3	
1.10.10.2710	1	4	
1.10.10.2720	1	4	
1.10.10.2730	1	6	
1.10.10.2740	1	2	
1.10.10.2750	1	3	
1.10.10.2760	1	2	
1.10.10.2770	1	3	
1.10.10.2780	1	1	
1.10.10.2790	1	9	
1.10.10.2800	1	2	
1.10.10.2810	1	2	
1.10.10.2830	3	19	
1.10.10.2840	1	4	
1.10.10.2850	1	1	
1.10.10.2870	1	2	
1.10.10.2890	1	2	
1.10.10.2900	1	14	
1.10.12.10	35	433	Lyase 2-enoyl-coa Hydratase, Chain  A, domain 2
1.10.12.20	1	4	
1.10.12.30	2	4	
1.10.12.40	1	13	
1.10.12.50	1	4	
1.10.12.70	3	21	
1.10.12.80	1	4	
1.10.12.90	1	3	
1.10.12.100	1	5	
1.10.15.30	1	66	
1.10.15.40	1	4	
1.10.20.10	43	1373	Histone, subunit A
1.10.20.20	1	2	
1.10.20.30	2	7	
1.10.20.40	1	4	
1.10.20.50	1	1	
1.10.20.60	6	39	
1.10.20.70	1	1	
1.10.20.80	2	32	
1.10.20.90	2	50	
1.10.20.100	2	8	
1.10.20.110	2	22	
1.10.20.120	1	1	
1.10.20.130	1	3	
1.10.20.140	3	10	
1.10.30.10	20	87	High mobility group box domain
1.10.30.20	1	3	
1.10.30.30	1	1	
1.10.30.40	1	10	
1.10.40.30	14	188	Fumarase/aspartase (C-terminal domain)
1.10.40.40	2	31	Deoxyribonucleotidase; domain 2
1.10.40.50	2	6	Probable gtpase engc; domain 3
1.10.40.60	2	2	EpsJ-like
1.10.40.70	1	2	
1.10.40.80	1	3	
1.10.40.90	1	3	
1.10.40.100	1	4	
1.10.45.10	7	94	Vanillyl-alcohol Oxidase; Chain A, domain 4
1.10.60.10	4	94	Iron dependent repressor, metal binding and dimerisation domain
1.10.60.20	1	57	Ribosomal protein S17e-like
1.10.60.30	2	2	PSPTO4464-like domains
1.10.60.40	2	6	
1.10.60.50	2	4	
1.10.100.10	5	40	Insulin-like
1.10.100.20	1	3	
1.10.100.30	1	1	
1.10.101.10	6	27	PGBD-like superfamily/PGBD
1.10.110.10	13	68	Plant lipid-transfer and hydrophobic proteins
1.10.110.30	2	11	
1.10.110.40	1	21	
1.10.132.10	4	16	
1.10.132.20	4	43	
1.10.132.30	3	85	
1.10.132.40	1	1	
1.10.132.50	1	4	
1.10.132.60	7	22	
1.10.132.70	3	16	
1.10.132.80	1	9	
1.10.132.90	1	4	
1.10.132.100	3	10	
1.10.132.110	1	7	
1.10.132.120	1	2	
1.10.132.130	1	8	
1.10.135.10	3	144	ATP:guanido phosphotransferase, N-terminal domain
1.10.140.10	1	30	MET Apo-Repressor, subunit A
1.10.150.20	60	1316	5' to 3' exonuclease, C-terminal subdomain
1.10.150.40	1	13	Barrier-to-autointegration factor, BAF
1.10.150.50	51	209	Transcription Factor, Ets-1
1.10.150.60	6	23	ARID DNA-binding domain
1.10.150.80	14	40	
1.10.150.90	6	34	
1.10.150.110	7	432	DNA polymerase beta, N-terminal domain-like
1.10.150.120	5	112	[2Fe-2S]-binding domain
1.10.150.130	19	90	
1.10.150.160	1	1	
1.10.150.170	1	7	Putative methyltransferase TM0872, insert domain
1.10.150.180	1	5	Gamma-retroviral matrix domain
1.10.150.190	4	14	Translation initiation factor 2; subunit 1; domain 2
1.10.150.200	1	2	Maltooligosyl trehalose synthase; domain 3
1.10.150.210	4	33	Phosphoserine phosphatase; domain 2
1.10.150.220	1	4	CPI-17
1.10.150.240	42	309	Putative phosphatase; domain 2
1.10.150.250	3	6	Flavinator of succinate dehydrogenase
1.10.150.260	3	4	YozE SAM-like
1.10.150.280	2	2	AF1531-like domain
1.10.150.290	1	2	S-adenosyl-L-methionine-dependent methyltransferases 
1.10.150.300	3	13	TGS-like domain
1.10.150.310	1	3	Tex RuvX-like domain-like
1.10.150.320	2	44	Photosystem II 12 kDa extrinsic protein
1.10.150.330	1	4	zn-dependent alcohol dehydrogenase
1.10.150.340	2	24	
1.10.150.350	1	4	
1.10.150.360	1	2	
1.10.150.370	1	2	
1.10.150.380	5	41	
1.10.150.390	2	14	
1.10.150.400	1	2	
1.10.150.410	2	7	
1.10.150.420	1	9	
1.10.150.430	3	3	
1.10.150.440	1	1	
1.10.150.450	2	3	
1.10.150.460	1	3	
1.10.150.470	1	1	
1.10.150.480	2	22	
1.10.150.490	1	2	
1.10.150.500	1	8	
1.10.150.510	2	22	
1.10.150.520	1	1	
1.10.150.530	2	12	
1.10.150.540	1	3	
1.10.150.550	1	1	
1.10.150.560	1	2	
1.10.150.570	1	11	
1.10.150.580	3	13	
1.10.150.590	1	1	
1.10.150.600	2	2	
1.10.150.610	1	1	
1.10.150.620	1	2	
1.10.150.630	1	7	
1.10.150.640	1	3	
1.10.150.650	2	4	
1.10.150.660	1	2	
1.10.150.670	2	12	
1.10.150.680	1	6	
1.10.150.690	1	1	
1.10.150.700	1	3	
1.10.150.710	1	4	
1.10.150.720	1	1	
1.10.150.730	1	1	
1.10.150.740	2	6	
1.10.150.750	1	1	
1.10.150.770	1	8	
1.10.150.780	2	3	
1.10.150.790	1	2	
1.10.150.800	1	16	
1.10.150.810	2	20	
1.10.150.820	1	10	
1.10.150.830	1	2	
1.10.150.840	2	10	
1.10.150.850	1	2	
1.10.150.870	1	3	
1.10.150.880	1	2	
1.10.155.10	1	2	Chemotaxis receptor methyltransferase CheR, N-terminal domain
1.10.166.10	1	15	Tetrahydrodipicolinate-N-succinyltransferase, N-terminal domain
1.10.167.10	5	68	Regulator of G-protein Signalling 4, domain 2
1.10.167.20	1	2	
1.10.167.30	1	1	
1.10.168.10	2	4	Phosducin, domain 2
1.10.168.20	2	54	
1.10.170.10	1	19	Bluetongue Virus 10, subunit 1, domain 3
1.10.185.10	1	1	Delta-retroviral matrix
1.10.189.10	1	14	Pyruvate Phosphate Dikinase, domain 2
1.10.195.10	1	2	HIV-1 VPU cytoplasmic domain
1.10.196.10	8	46	
1.10.196.20	1	2	
1.10.196.30	1	2	
1.10.210.10	1	6	Secretoglobin
1.10.210.20	2	21	
1.10.220.10	22	405	Annexin
1.10.220.20	5	39	
1.10.220.30	6	27	
1.10.220.50	1	1	Bacteriophage T4, Gp59, helicase assembly protein, C-terminal domain
1.10.220.60	1	8	GRIP domain
1.10.220.70	1	18	lyase
1.10.220.80	1	2	BH2638-like
1.10.220.90	1	1	Mistic
1.10.220.100	2	3	conserved c-terminal region of ge- 1
1.10.220.110	1	1	
1.10.220.120	2	6	
1.10.220.130	1	2	
1.10.220.140	1	1	
1.10.225.10	12	49	Saposin-like
1.10.225.20	1	2	
1.10.225.30	1	1	
1.10.225.40	1	3	
1.10.230.10	6	116	Cytochrome P450-Terp, domain 2
1.10.230.20	1	2	
1.10.238.10	164	1838	EF-hand
1.10.238.20	21	166	Pheromone/general odorant binding protein domain
1.10.238.70	1	4	
1.10.238.80	1	1	MTH865-like
1.10.238.90	1	2	
1.10.238.100	1	1	YAP1 redox domain. Chain B
1.10.238.110	1	1	Diacylglycerol kinase alpha.
1.10.238.120	1	4	Jann4075-like
1.10.238.140	1	3	
1.10.238.150	4	16	
1.10.238.160	1	1	
1.10.238.170	1	2	
1.10.238.180	1	2	
1.10.238.190	1	8	
1.10.238.200	1	7	
1.10.238.210	1	46	
1.10.238.220	2	8	
1.10.238.230	1	5	
1.10.238.240	1	1	
1.10.238.260	1	1	
1.10.238.270	1	7	
1.10.239.10	2	16	Elicitin domain
1.10.240.10	20	233	Tyrosyl-Transfer RNA Synthetase
1.10.245.10	7	214	SWIB/MDM2 domain
1.10.246.10	12	1032	
1.10.246.20	3	12	Coactivator CBP, KIX domain
1.10.246.30	1	39	
1.10.246.40	1	7	Tn5 transposase; domain 1
1.10.246.60	1	4	Eukaryotic translation initiation factor 3 like domains
1.10.246.70	1	1	
1.10.246.80	2	11	
1.10.246.90	2	41	
1.10.246.100	1	1	
1.10.246.110	1	1	
1.10.246.120	3	12	
1.10.246.130	3	45	
1.10.246.140	2	41	
1.10.246.150	1	1	
1.10.246.160	1	1	
1.10.246.170	1	1	
1.10.246.180	1	2	
1.10.246.190	2	26	
1.10.246.200	1	1	
1.10.246.220	2	6	
1.10.246.230	1	3	
1.10.250.10	1	19	Bluetongue Virus 10, subunit 1, domain 1
1.10.260.30	7	34	Signal recognition particle, SRP54 subunit, M-domain
1.10.260.40	77	645	lambda repressor-like DNA-binding domains
1.10.260.50	1	14	
1.10.260.60	1	32	
1.10.260.70	1	4	
1.10.260.80	1	3	
1.10.260.90	2	6	
1.10.260.100	3	3	
1.10.260.110	1	2	
1.10.260.120	1	1	
1.10.260.130	1	6	
1.10.260.140	1	1	
1.10.260.150	6	21	
1.10.260.160	1	1	
1.10.260.170	1	3	
1.10.260.180	1	2	
1.10.260.190	1	2	
1.10.268.10	8	65	Topoisomerase, domain 3
1.10.268.20	2	2	
1.10.269.10	1	8	Adenovirus DNA-binding, N-terminal domain
1.10.269.20	1	4	
1.10.274.10	1	18	PtsI, HPr-binding domain
1.10.274.20	3	54	Phenylalanine ammonia-lyase 1; domain 3
1.10.274.30	2	10	
1.10.274.40	1	8	
1.10.274.50	1	5	
1.10.274.60	3	4	
1.10.274.70	3	20	
1.10.274.80	1	1	
1.10.274.90	1	3	
1.10.274.100	4	73	
1.10.275.10	16	354	Fumarase/aspartase (N-terminal domain)
1.10.275.20	1	8	
1.10.275.30	2	3	
1.10.275.40	1	3	
1.10.275.50	1	4	
1.10.275.60	1	2	
1.10.285.10	1	53	Glutamate Dehydrogenase, chain A, domain 3
1.10.285.20	1	4	
1.10.286.10	3	161	
1.10.286.20	2	15	
1.10.286.30	1	3	
1.10.286.40	3	9	Chlorophyll a-b binding protein like
1.10.286.50	1	2	
1.10.286.60	1	1	
1.10.286.70	2	6	
1.10.286.80	1	6	
1.10.286.90	1	2	
1.10.286.100	1	26	
1.10.287.10	8	452	S15/NS1, RNA-binding
1.10.287.20	2	66	Ubiquinol-cytochrome C reductase hinge domain
1.10.287.30	1	12	
1.10.287.40	6	41	
1.10.287.70	27	577	
1.10.287.80	7	116	
1.10.287.90	4	90	
1.10.287.100	10	51	
1.10.287.110	21	94	DnaJ domain
1.10.287.120	1	1	Neurotoxin B-IV-like
1.10.287.130	19	103	
1.10.287.140	1	144	
1.10.287.150	4	30	
1.10.287.160	7	24	HR1 repeat
1.10.287.170	1	2	
1.10.287.180	3	16	Transcription elongation factor, GreA/GreB, N-terminal domain
1.10.287.190	1	7	
1.10.287.210	18	162	
1.10.287.230	2	35	
1.10.287.260	2	17	
1.10.287.280	1	17	
1.10.287.310	4	138	
1.10.287.320	1	1	
1.10.287.340	1	1	
1.10.287.370	4	9	
1.10.287.380	2	5	Valyl-tRNA synthetase, C-terminal domain
1.10.287.390	2	2	
1.10.287.400	1	4	
1.10.287.410	1	3	
1.10.287.420	1	5	
1.10.287.440	1	30	
1.10.287.450	3	25	Helix hairpin bin
1.10.287.460	3	7	Peptidyl-prolyl cis-trans isomerase, FKBP-type, N-terminal domain
1.10.287.470	7	84	Helix hairpin bin
1.10.287.480	1	3	helix hairpin bin
1.10.287.490	1	2	Helix hairpin bin
1.10.287.500	1	1	Helix hairpin bin
1.10.287.510	1	2	Helix hairpin bin
1.10.287.520	2	2	Helix hairpin bin
1.10.287.540	10	81	Helix hairpin bin
1.10.287.550	1	1	Helix hairpin bin
1.10.287.560	1	2	Histidine kinase  CheA-like, homodimeric domain
1.10.287.570	1	1	Helical hairpin bin
1.10.287.580	2	3	Helix hairpin bin
1.10.287.600	6	352	Helix hairpin bin
1.10.287.610	6	370	Helix hairpin bin
1.10.287.620	1	6	Helix Hairpins
1.10.287.630	2	38	Helix hairpin bin
1.10.287.650	6	17	L27 domain
1.10.287.660	13	41	Helix hairpin bin
1.10.287.670	3	22	Phycobilisome degradation protein NblA
1.10.287.680	2	32	Helix hairpin bin
1.10.287.690	9	78	Helix hairpin bin
1.10.287.700	2	2	Helix hairpin bin
1.10.287.710	1	21	Helix hairpin bin
1.10.287.720	1	1	Pollen allergen ole e 6
1.10.287.730	2	3	Helix hairpin bin
1.10.287.740	1	45	Photosystem II PsbZ, reaction centre
1.10.287.750	3	12	SO2669-like
1.10.287.760	1	3	YqgQ-like
1.10.287.770	6	35	YojJ-like
1.10.287.780	1	2	ITPase-like domains
1.10.287.790	1	8	luxt domain from vibrio parahaemolyticus
1.10.287.800	1	2	protein ne1242 
1.10.287.810	5	20	Mitochondrial import inner membrane translocase subunit tim13 like domains
1.10.287.820	1	22	Acid-sensing ion channel domain
1.10.287.830	2	3	putative peptidase helix hairpin domain like
1.10.287.840	1	1	Mycolic acid cyclopropane synthase domain like
1.10.287.850	4	43	HP0062-like domain
1.10.287.860	2	40	Nucleotidyltransferase
1.10.287.870	1	3	Acyl-CoA N-acyltransferases (Nat) 
1.10.287.880	2	2	Hypothetical protein YfhH domain
1.10.287.890	4	18	Crystal structure of tRNA isopentenylpyrophosphate transferase (bh2366) domain
1.10.287.900	1	1	The crystal structure of the spermine/spermidine acetyltransferase from enterococcus faecali
1.10.287.910	2	3	bacterial mercury transporter, merf
1.10.287.920	1	1	Pheromone alpha factor receptor.
1.10.287.930	1	1	Mammalian shaker kv1.2 potassium channel- beta subunit complex
1.10.287.940	1	6	atp-gated p2x4 ion channel 
1.10.287.950	4	10	Methyl-accepting chemotaxis protein
1.10.287.970	1	1	His Kinase A (phosphoacceptor) domain
1.10.287.980	1	17	plastocyanin oxidoreductase
1.10.287.990	6	305	Fe,Mn superoxide dismutase (SOD) domain
1.10.287.1010	1	33	Clavaminate synthase-like 
1.10.287.1020	1	1	NE0241-like 
1.10.287.1030	1	2	Nudix-associated domain 
1.10.287.1040	1	6	Exonuclease VII, small subunit
1.10.287.1050	3	12	H-NS histone-like proteins
1.10.287.1060	19	83	ESAT-6-like
1.10.287.1070	1	1	Nuclear receptor coactivator, Ncoa-type, interlocking domain
1.10.287.1080	12	76	MazG-like 
1.10.287.1090	2	4	Dimerisation domain of CENP-B
1.10.287.1100	1	2	Sporulation inhibitor A
1.10.287.1110	1	1	Tubulin, GTPase
1.10.287.1120	2	3	Bipartite methylase S protein
1.10.287.1130	5	9	CytochromE C oxidase copper chaperone
1.10.287.1140	1	1	EspA/CesA-like
1.10.287.1150	1	43	TPP helical domain
1.10.287.1160	1	5	Anti-sigma-28 factor FlgM
1.10.287.1170	1	4	glycoside hydrolase family 81 endo-[beta] glucanase 
1.10.288.10	2	8	Cobalamin-dependent Methionine Synthase, domain 2
1.10.288.20	1	2	
1.10.290.10	4	44	Topoisomerase I, domain 4
1.10.300.10	4	57	Adenylosuccinate Synthetase, subunit A, domain 2
1.10.340.20	1	2	Apc36109-like domain
1.10.340.30	17	186	Hypothetical protein; domain 2
1.10.340.40	1	4	
1.10.340.50	1	2	
1.10.340.60	1	3	
1.10.340.70	2	51	
1.10.357.10	145	796	Tetracycline Repressor, domain 2
1.10.357.20	1	12	SLC41 divalent cation transporters, integral membrane domain
1.10.357.30	1	1	
1.10.357.40	1	1	
1.10.357.50	2	4	
1.10.357.60	1	2	
1.10.357.70	1	2	
1.10.357.80	1	10	
1.10.357.90	1	7	
1.10.357.100	1	4	
1.10.357.110	1	1	
1.10.357.120	1	2	
1.10.357.130	1	5	
1.10.357.140	1	12	
1.10.357.150	1	1	
1.10.357.160	1	2	
1.10.375.10	8	213	Human Immunodeficiency Virus Type 1 Capsid Protein
1.10.390.10	8	296	Neutral Protease Domain 2
1.10.390.20	1	6	
1.10.390.30	1	2	
1.10.390.40	1	7	
1.10.390.60	4	74	
1.10.400.10	6	151	GI Alpha 1, domain 2-like
1.10.400.20	1	5	putative tagatose 6-phosphate kinase domain like
1.10.405.10	7	155	Guanine Nucleotide Dissociation Inhibitor, domain 1
1.10.405.20	1	6	
1.10.405.40	2	4	
1.10.418.10	27	203	Calponin-like domain
1.10.418.20	2	5	
1.10.418.30	1	3	
1.10.418.40	2	2	
1.10.418.50	1	7	
1.10.418.60	1	2	
1.10.418.70	1	2	
1.10.418.80	1	4	
1.10.420.10	9	625	Peroxidase, domain 2
1.10.420.20	1	141	
1.10.437.10	18	254	Blc2-like
1.10.437.20	5	47	
1.10.437.40	3	12	
1.10.439.10	5	99	Penicillin Amidohydrolase, domain 1
1.10.439.20	2	3	
1.10.440.10	1	8	T4 endonuclease V
1.10.441.10	2	5	Phosphomannose Isomerase, domain 2
1.10.442.10	1	62	Cytochrome c oxidase subunit IV
1.10.443.10	7	101	Intergrase catalytic core
1.10.443.20	2	4	
1.10.443.30	2	11	
